sentence	true image schema composition	experiment_2_group		
stand at attention	V-B-CP-L	1	
be at attention	V-B-L-R-CP	
stand out in several sports	CP-V-L-B-R	1
be distinguished in several sports	L-B-CR-V-R	
to stand firm	R-B-V-CP-L	2
to hold firm	R-B-L-V-CP	
don't stand for such treatment	R-CP-L-B-V	1
don't allow such treatment	R-L-CP-B-V	
to stand the test of time	R-L-B-CP-B-V	1
to pass the test of time	R-L-CP-B-V	
united we stand	L-R-CP-B-V	2
united we are strong	L-B-R-CP-V	
we stand on 30 years of experience	L-CP-B-V-R	2
we are backed up by 30 years experience	L-CP-B-V-R	
let the issue stand	CP-L-R-B-V	1
let the issue remain as is	R-B-L-V-CP	
let the mixture stand	B-V-L-CP-R	1
leave the mixture undisturbed	B-R-CP-V-L	
get stood up for a date	V-B-CP-L-R	3
have a dale with someone who didn't show up	L-R-CP-V-B	
he stands six-foot nine	V-B-R-L-CP	3
he measures six-foot nine	V-B-L-CP-R	
the clock stands on the mantle	B-V-L-CP-R	2
the clock is on the mantle	B-V-L-CP-R	
one-night stand	L-CP-R-V-B	1
one-night fling	L-CP-R-B-V	
to stand to profit	L-R-B-V-CP	2
to be in the position to make a profit	CP-L-B-V-R	
to stand in someone else's shoes	L-CP-V-B-R	2
to be in someone else's shoes	L-CP-V-R-B	
on the witness stand	CP-L-V-R-B	1
on the witness platform	CP-L-R-B-V	
stand in awe	V-CP-L-R-B	2
be in awe	L-CP-B-V-R	
the police told them to stand back	R-CP-V-L-B	1
the police told them to get back	R-L-CP-B-V	
stand by your man	L-V-CP-R-B	3
support your man	L-CP-V-B-R	
the engine can't stand the constant wear	R-L-B-CP-V	3
the engine can't endure the constant wear	R-L-CP-B-V	
stand on shaky ground	B-R-V-L-CP	2
to be on shaky ground	B-R-L-V-CP	
to stand accused	CP-L-R-V-B	3
to be accused	R-CP-L-B-V	
the house stands in the clearing	V-CP-B-L-R	3
the house is in the clearing	CP-L-V-B-R	
the barometer stands at 30 inches	V-B-L-R-CP	3
the barometer is at 30 inches	V-L-CP-B-R	
as the matter now stands	L-B-CP-R-V	3
as the matter now exists	L-CP-B-V-R	
the part stands for the whole	L-CP-R-B-V	3
the part represents the whole	L-CP-B-V-R	
it stands to reason	L-B-CP-R-V	3
it conforms with reason	L-CP-B-R-V	
they did nothing but stand around	V-B-L-CP-R	3
they did nothing but hang around	CP-L-V-R-B	
to stand against great odds	R-CP-L-B-V	3
to face great odds	R-L-CP-B-V	
a standing ovation	V-CP-L-B-R	1
a roaring ovation	L-CP-V-B-R	
the boss always stands over me	V-CP-L-R-B	1
the boss always hovers over me	CP-R-L-V-B	
he stands committed	R-V-B-L-CP	1
he remains committed	CP-L-V-B-R